keys,en,en_GB,es_VE,de
CHARGED_BOOMERANG_ITM,Charged Boomerang,,,
FIST_ITM,Fist,,,
,,,,
LOGGER_SYSTEM,System,puter,,System
LOGGER_HANK,Hank,ank,Hank,Hank
LOGGER_GNOME,[Anonymous],[Gno'],[Anonymous],[Anonymous]
LOGGER_BILL,Bill,Billy,Bill,Bill
LOGGER_BRUCE,Bruce,Polish Fridge,Bruce,Bruce
LOGGER_ADRIAN,Adrian,A'rian,Adrian,Adrian
LOGGER_JERRY,Jerry,Alexander XXXIV,Jerry,Jerry
LOGGER_YOU,Me,I,,Ich
,,,,
LOG_FAILURE,Complete system failure. Locking down RNL.,,,
LOG_CONSTRUCTOR,"We've discovered how to safely split atoms into their individual components. We need to find out how to reconstruct them, so maybe we can make something completely different than what we put in?",,,
LOG_PROGRESS1,"Progress on the Atomic Constructor is going well. We've found that atoms can be constructed by force, but this makes them unstable. Anything made with this won't be viable for use.",,,
LOG_CREATION,I think we've done it! We've figured out how to recreate atoms! We can also create custom atoms! Most of which are unstable. The possibilities are endless. We'll have to start working on a more user friendly design soon so we can start selling this to governments. Lets hope we can finish before christmas.,,,
LOG_ONLINE,All systems force reset. Re-opening RNL.,,,
